"V1","V2"
33.161396,5.7316106
33.161396,5.7316106
33.161396,5.7316106
33.161396,5.7316106
33.161396,5.7316106
33.161396,5.7316106
33.16235,5.732402
33.16235,5.732402
33.373055,5.7018562
33.16235,5.732402
33.16235,5.732402
33.16235,5.732402
33.16235,5.732402
33.16235,5.732402
33.16235,5.732402
33.16235,5.732402
33.16235,5.732402
33.16235,5.732402
33.16235,5.732402
33.16235,5.732402
33.161396,5.7316106
33.161396,5.7316106
33.158184,5.7044194
33.159653,5.7056666
33.164364,5.7061713
33.158184,5.7044194
33.15975,5.7056943
33.158184,5.7044194
33.158184,5.7044194
33.159653,5.7056666
33.158184,5.7044194
33.158184,5.7044194
33.15975,5.7056943
33.158184,5.7044194
33.158184,5.7044194
33.159653,5.7056666
33.158184,5.7044194
33.158184,5.7044194
33.15975,5.7056943
33.159653,5.7056666
33.158607,5.7230418
33.158894,5.7231656
33.158607,5.7230418
33.158607,5.7230418
33.16135,5.7315612
33.158607,5.7230418
33.158894,5.7231656
33.158886,5.7232051
33.158607,5.7230418
33.160107,5.7282315
33.158886,5.7232051
33.158607,5.7230418
33.158894,5.7231656
33.158607,5.7230418
33.16142,5.7315794
33.16142,5.7315794
33.16142,5.7315794
33.16142,5.7315794
33.16142,5.7315794
33.16142,5.7315794
33.16142,5.7315794
33.16142,5.7315794
33.16142,5.7315794
33.16142,5.7315794
33.16135,5.7315612
33.16142,5.7315794
33.16135,5.7315612
33.158607,5.7230418
33.158607,5.7230418
33.158607,5.7230418
33.158607,5.7230418
33.160107,5.7282315
33.160107,5.7282315
33.158607,5.7230418
33.160107,5.7282315
33.160107,5.7282315
33.158607,5.7230418
33.158607,5.7230418
33.158607,5.7230418
33.158607,5.7230418
33.158894,5.7231656
33.160107,5.7282315
33.160107,5.7282315
33.158607,5.7230418
33.160107,5.7282315
33.158607,5.7230418
33.158607,5.7230418
33.158894,5.7231656
33.158607,5.7230418
33.158607,5.7230418
33.158607,5.7230418
33.158607,5.7230418
33.16142,5.7315794
33.16142,5.7315794
33.16142,5.7315794
33.16142,5.7315794
33.158497,5.7230678
33.158497,5.7230678
33.158497,5.7230678
33.160107,5.7282315
33.160107,5.7282315
33.160107,5.7282315
33.160107,5.7282315
33.160107,5.7282315
33.158497,5.7230678
33.158497,5.7230678
33.158497,5.7230678
33.158497,5.7230678
33.158497,5.7230678
33.158497,5.7230678
33.158497,5.7230678
33.158497,5.7230678
33.211147,5.728822
33.211147,5.728822
33.211147,5.728822
33.211147,5.728822
33.19945,5.7324825
33.211292,5.728461
33.19945,5.7324825
33.211147,5.728822
33.21117,5.7287403
33.21117,5.7287403
33.21117,5.7287403
33.21117,5.7287403
33.21117,5.7287403
33.21117,5.7287403
33.211155,5.7287424
33.213535,5.751225
33.213535,5.751225
33.21117,5.7287403
33.21117,5.7287403
33.213535,5.751225
33.227264,5.7830952
33.227264,5.7830952
33.227264,5.7830952
33.227264,5.7830952
33.191685,5.737118
33.191685,5.737118
33.191685,5.737118
