"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
113360,236,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",47,"Uleppi","","","Sub-county","Sub-county"
113361,236,"UGA","Uganda",3,"Arua",10,"Maracha",48,"Kijomoro","","","Sub-county","Sub-county"
113362,236,"UGA","Uganda",3,"Arua",10,"Maracha",49,"Nyadri","","","Sub-county","Sub-county"
113363,236,"UGA","Uganda",3,"Arua",10,"Maracha",50,"Oleba","","","Sub-county","Sub-county"
113364,236,"UGA","Uganda",3,"Arua",10,"Maracha",51,"Oluffe","","","Sub-county","Sub-county"
113365,236,"UGA","Uganda",3,"Arua",10,"Maracha",52,"Oluvu","","","Sub-county","Sub-county"
113366,236,"UGA","Uganda",3,"Arua",10,"Maracha",53,"Tara","","","Sub-county","Sub-county"
113367,236,"UGA","Uganda",3,"Arua",10,"Maracha",54,"Yivu","","","Sub-county","Sub-county"
113368,236,"UGA","Uganda",3,"Arua",11,"Terego",55,"Ali-vu","","Aii - Vu","Sub-county","Sub-county"
113369,236,"UGA","Uganda",3,"Arua",11,"Terego",56,"Beleafe","","","Sub-county","Sub-county"
113370,236,"UGA","Uganda",3,"Arua",11,"Terego",57,"Katrini","","","Sub-county","Sub-county"
113371,236,"UGA","Uganda",3,"Arua",11,"Terego",58,"Odupi","","","Sub-county","Sub-county"
113372,236,"UGA","Uganda",3,"Arua",11,"Terego",59,"Omugo","","","Sub-county","Sub-county"
113373,236,"UGA","Uganda",3,"Arua",11,"Terego",60,"Uriama","","","Sub-county","Sub-county"
113374,236,"UGA","Uganda",3,"Arua",12,"Vurra",61,"Ajia","","","Sub-county","Sub-county"
113375,236,"UGA","Uganda",3,"Arua",12,"Vurra",62,"Arivu","","","Sub-county","Sub-county"
113376,236,"UGA","Uganda",3,"Arua",12,"Vurra",63,"Logiri","","","Sub-county","Sub-county"
113377,236,"UGA","Uganda",3,"Arua",12,"Vurra",64,"Vurra","","","Sub-county","Sub-county"
113378,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",65,"Banda","","","Sub-county","Sub-county"
113379,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",66,"Budhaya","","","Sub-county","Sub-county"
113380,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",67,"Bugiri Tc","","","Sub-county","Sub-county"
113381,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",68,"Bulidha","","","Sub-county","Sub-county"
113382,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",69,"Buliisa","","Bulesa","Sub-county","Sub-county"
113383,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",70,"Buluguyi","","","Sub-county","Sub-county"
113384,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",71,"Buswale","","","Sub-county","Sub-county"
113385,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",72,"Buwunga","","","Sub-county","Sub-county"
113386,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",73,"Buyinja","","","Sub-county","Sub-county"
113387,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",74,"Iwemba","","","Sub-county","Sub-county"
113388,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",75,"Kapyanga","","","Sub-county","Sub-county"
113389,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",76,"L.Victoria","","","Sub-county","Sub-county"
113390,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",77,"Muterere","","","Sub-county","Sub-county"
113391,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",78,"Mutumba","","","Sub-county","Sub-county"
113392,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",79,"Nabukalu","","","Sub-county","Sub-county"
113393,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",80,"Nankoma","","","Sub-county","Sub-county"
113394,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli",81,"Sigulu Islands","","","Sub-county","Sub-county"
113395,236,"UGA","Uganda",5,"Bundibugyo",14,"Bwamba",82,"Bubandi","","","Sub-county","Sub-county"
113396,236,"UGA","Uganda",5,"Bundibugyo",14,"Bwamba",83,"Bubukwanga","","","Sub-county","Sub-county"
113397,236,"UGA","Uganda",5,"Bundibugyo",14,"Bwamba",84,"Bundibugyo Tc","","","Sub-county","Sub-county"
113398,236,"UGA","Uganda",5,"Bundibugyo",14,"Bwamba",85,"Busaru","","","Sub-county","Sub-county"
113399,236,"UGA","Uganda",5,"Bundibugyo",14,"Bwamba",86,"Harugali","","","Sub-county","Sub-county"
113400,236,"UGA","Uganda",5,"Bundibugyo",14,"Bwamba",87,"Kasitu","","","Sub-county","Sub-county"
113401,236,"UGA","Uganda",5,"Bundibugyo",14,"Bwamba",88,"Nduguto","","","Sub-county","Sub-county"
113402,236,"UGA","Uganda",5,"Bundibugyo",15,"Ntoroko",89,"Kanara","","","Sub-county","Sub-county"
